id,valence_cue,valence_tar,BA_answer,BA_resp,excluded
5,neu,neu,B,,TRUE
5,emo,neu,A,nei,TRUE
5,emo,neu,B,,TRUE
5,emo,emo,nei,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,nei,TRUE
5,neu,emo,B,A,TRUE
5,neu,neu,nei,,TRUE
5,neu,neu,A,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,A,,TRUE
5,emo,neu,B,A,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,nei,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,A,,TRUE
5,emo,neu,B,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,neu,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,nei,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,neu,neu,nei,,TRUE
5,neu,emo,B,,TRUE
5,neu,emo,A,,TRUE
5,neu,neu,A,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,A,A,TRUE
6,neu,emo,B,nei,FALSE
6,neu,emo,A,,FALSE
6,emo,neu,A,A,FALSE
6,neu,emo,B,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,B,B,FALSE
6,neu,emo,A,B,FALSE
6,neu,emo,B,nei,FALSE
6,neu,neu,A,B,FALSE
6,emo,neu,A,B,FALSE
6,neu,neu,nei,nei,FALSE
6,neu,emo,A,nei,FALSE
6,emo,neu,A,nei,FALSE
6,emo,neu,B,A,FALSE
6,emo,neu,B,B,FALSE
6,emo,emo,nei,B,FALSE
6,emo,neu,A,B,FALSE
6,emo,emo,A,B,FALSE
6,neu,emo,A,nei,FALSE
6,neu,emo,B,B,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,B,nei,FALSE
6,emo,emo,B,B,FALSE
6,emo,neu,A,nei,FALSE
6,emo,emo,B,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,B,B,FALSE
6,emo,neu,B,nei,FALSE
6,emo,neu,A,A,FALSE
6,neu,emo,A,nei,FALSE
6,neu,emo,B,A,FALSE
6,neu,emo,A,A,FALSE
6,emo,neu,B,nei,FALSE
6,neu,emo,B,A,FALSE
6,neu,emo,B,A,FALSE
6,neu,emo,B,nei,FALSE
6,neu,emo,A,B,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,nei,B,FALSE
6,emo,emo,nei,A,FALSE
6,emo,neu,A,A,FALSE
6,emo,emo,A,B,FALSE
6,emo,neu,A,nei,FALSE
6,neu,emo,A,B,FALSE
6,neu,emo,A,,FALSE
6,emo,neu,A,B,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,A,A,FALSE
6,neu,neu,B,B,FALSE
6,neu,emo,A,nei,FALSE
6,emo,neu,A,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,A,A,FALSE
6,neu,emo,B,B,FALSE
6,emo,emo,B,B,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,B,A,FALSE
6,neu,emo,A,,FALSE
6,emo,emo,nei,A,FALSE
6,neu,neu,nei,nei,FALSE
6,neu,emo,B,A,FALSE
6,emo,neu,B,B,FALSE
6,neu,emo,B,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,emo,A,A,FALSE
6,emo,neu,A,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,A,A,FALSE
6,emo,neu,A,nei,FALSE
6,emo,neu,A,nei,FALSE
6,emo,emo,A,nei,FALSE
6,neu,emo,A,A,FALSE
6,neu,emo,B,A,FALSE
6,emo,neu,B,A,FALSE
6,neu,neu,B,A,FALSE
6,emo,neu,A,A,FALSE
6,emo,neu,B,A,FALSE
6,emo,emo,nei,nei,FALSE
6,neu,emo,A,nei,FALSE
6,emo,neu,A,A,FALSE
6,neu,emo,A,nei,FALSE
6,neu,emo,B,A,FALSE
6,neu,neu,nei,A,FALSE
6,neu,neu,A,A,FALSE
6,neu,emo,A,A,FALSE
